interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,1.68,0.0,16.0,1050201637,0.0,0.0,0.42,14.0,0.21,5.75,84.42,29.94,1.03,3.22,5.58,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.3,0.0,58.0,123592887#0,0.0,0.0,2.43,55.0,1.22,16.34,921.12,26.07,0.9,85.57,16.14,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.28,0.0,55.0,123592887#1,0.0,0.0,2.09,37.0,1.05,29.46,1394.59,25.32,0.87,164.88,29.26,0.0
0.0,300.0,edge_data_300sec_freq,0.0,27.29,0.0,213.0,123867446#0,0.0,0.0,6.82,178.0,3.41,29.57,5752.36,23.94,0.82,954.7,29.36,0.0
0.0,300.0,edge_data_300sec_freq,0.0,24.3,0.0,178.0,123867446#1,0.0,0.0,6.07,175.0,3.04,7.35,1251.74,24.03,0.83,204.13,7.15,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.4,0.0,75.0,124952143,0.0,0.0,1.6,73.0,0.8,2.99,212.47,38.63,0.98,1.08,2.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,33.14,0.0,269.0,124952161,0.0,0.0,8.29,242.0,4.14,15.09,3796.09,25.63,0.88,397.76,14.9,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.57,0.0,70.0,125343939,0.0,0.0,2.14,63.0,1.07,10.76,697.27,25.64,0.88,72.53,10.57,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.6,0.0,63.0,1343746547,0.0,0.0,1.9,58.0,0.95,4.48,256.81,26.26,0.9,21.68,4.29,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.34,0.0,83.0,156651844,0.0,0.0,2.45,82.0,1.22,2.22,173.02,37.64,0.95,5.67,2.09,0.0
0.0,300.0,edge_data_300sec_freq,0.0,15.45,0.0,88.0,156651855,0.0,0.0,15.45,86.0,7.72,13.21,1130.45,18.85,0.85,157.02,12.94,0.0
0.0,300.0,edge_data_300sec_freq,0.0,19.99,0.0,146.0,157782133,0.0,0.0,4.0,126.0,2.0,13.52,1869.71,23.44,0.81,349.07,13.3,0.0
0.0,300.0,edge_data_300sec_freq,0.0,170.84,0.0,465.0,158710528,0.0,0.0,28.47,415.0,14.24,43.66,19494.14,8.83,0.3,13501.69,43.1,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.91,0.0,82.0,183343395,0.0,0.0,2.64,81.0,1.32,1.7,127.24,34.38,0.87,14.83,1.56,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.85,0.0,16.0,206086131,0.0,0.0,0.62,16.0,0.31,8.66,135.83,28.8,0.99,8.61,8.49,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.45,0.0,71.0,23011287,0.0,0.0,1.61,71.0,0.81,5.46,377.96,36.7,0.93,20.24,5.32,0.0
0.0,300.0,edge_data_300sec_freq,0.0,14.48,0.0,113.0,23955194,0.0,0.0,3.62,99.0,1.81,40.5,4326.43,24.72,0.85,556.34,40.29,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.1,0.0,1.0,26027240,0.0,0.0,0.02,1.0,0.01,10.31,10.16,33.59,1.16,0.0,10.16,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.43,0.0,4.0,26027241,0.0,0.0,0.14,4.0,0.07,2.69,10.13,31.02,1.07,0.52,2.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.36,0.0,73.0,26297396,0.0,0.0,1.59,71.0,0.79,1.7,112.93,37.66,0.95,3.19,1.57,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.09,0.0,1.0,28378888#0,0.0,0.0,0.02,1.0,0.01,0.6,0.46,36.88,1.27,0.0,0.46,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.0,0.0,1.0,28378888#1,0.0,0.0,0.0,0.0,0.0,5.91,0.1,36.84,1.27,0.0,5.78,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.09,0.0,1.0,28378890,0.0,0.0,0.02,1.0,0.01,1.73,1.59,36.83,1.27,0.0,1.59,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.68,0.0,66.0,28396115#0,0.0,0.0,1.92,53.0,0.96,9.33,509.47,24.22,0.83,72.35,9.13,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.3,0.0,53.0,28396115#1,0.0,0.0,1.83,52.0,0.91,8.16,420.19,24.13,0.83,62.24,7.95,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.81,0.0,72.0,28396117,0.0,0.0,2.45,66.0,1.23,3.82,249.91,23.55,0.81,40.43,3.61,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.91,0.0,8.0,28464122,0.0,0.0,0.23,8.0,0.11,6.49,50.56,29.18,1.0,1.79,6.32,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.65,0.0,8.0,28464124,0.0,0.0,0.16,5.0,0.08,13.71,79.42,29.86,1.03,2.13,13.54,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.45,0.0,15.0,28464668,0.0,0.0,0.36,9.0,0.18,40.96,512.75,28.86,0.99,30.52,40.79,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.73,0.0,15.0,28464671,0.0,0.0,0.43,15.0,0.22,1.23,15.89,28.9,0.99,0.86,1.06,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.93,0.0,52.0,28588884,0.0,0.0,1.73,51.0,0.87,2.39,112.17,24.69,0.85,14.34,2.19,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.02,0.0,51.0,28588888,0.0,0.0,1.76,48.0,0.88,29.91,1491.92,23.84,0.82,235.19,29.7,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.36,0.0,13.0,301865758,0.0,0.0,0.34,8.0,0.17,9.87,111.09,28.04,0.96,3.68,9.69,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.26,0.0,68.0,301865760,0.0,0.0,1.56,13.0,0.78,50.51,2386.7,25.27,0.87,330.36,50.31,0.0
0.0,300.0,edge_data_300sec_freq,0.0,13.06,0.0,121.0,301865762,0.0,0.0,3.27,68.0,1.63,35.57,3358.63,24.24,0.83,548.79,35.36,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.27,0.0,3.0,360971738#0,0.0,0.0,0.27,0.0,0.14,12.86,23.57,22.94,1.03,0.51,12.64,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.55,0.0,79.0,362158898,0.0,0.0,7.55,76.0,3.77,5.39,407.82,34.33,0.87,48.03,5.25,0.0
0.0,300.0,edge_data_300sec_freq,0.0,13.18,0.0,85.0,393495986,0.0,0.0,6.59,84.0,3.3,2.5,192.49,21.48,0.97,3.9,2.27,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.13,0.0,80.0,417910449,0.0,0.0,4.57,79.0,2.28,4.06,308.17,28.97,0.73,79.0,3.88,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.22,0.0,4.0,479773100,0.0,0.0,0.07,1.0,0.04,7.18,14.75,31.75,1.09,0.48,7.02,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.19,0.0,2.0,508115730,0.0,0.0,0.04,2.0,0.02,4.8,9.32,34.51,1.19,0.0,4.66,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.19,0.0,2.0,508115731,0.0,0.0,0.05,2.0,0.02,11.34,22.4,34.5,1.19,0.0,11.2,0.0
0.0,300.0,edge_data_300sec_freq,0.0,11.94,0.0,81.0,51350996,0.0,0.0,5.97,80.0,2.98,4.73,361.05,22.39,0.91,28.08,4.5,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.96,0.0,71.0,550271864,0.0,0.0,2.24,70.0,1.12,5.21,355.35,26.34,0.91,27.74,5.02,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.45,0.0,12.0,550284603,0.0,0.0,0.36,12.0,0.18,5.86,68.14,27.63,0.95,8.69,5.68,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.13,0.0,20.0,550284605,0.0,0.0,0.71,18.0,0.35,13.16,236.58,28.58,0.98,13.07,12.98,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.38,0.0,21.0,550284606,0.0,0.0,0.79,20.0,0.4,11.69,230.73,28.04,0.96,14.48,11.51,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.48,0.0,76.0,552152110,0.0,0.0,2.16,75.0,1.08,1.99,140.74,38.88,0.99,0.01,1.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,16.63,0.0,138.0,552389451,0.0,0.0,4.16,126.0,2.08,30.12,3914.71,26.22,0.9,306.6,29.92,0.0
0.0,300.0,edge_data_300sec_freq,0.0,15.96,0.0,126.0,552603210,0.0,0.0,3.99,121.0,2.0,2.17,243.52,25.78,0.89,25.42,1.97,0.0
0.0,300.0,edge_data_300sec_freq,0.0,4.23,0.0,37.0,554260214,0.0,0.0,1.41,21.0,0.71,15.1,480.32,25.39,0.87,60.34,14.91,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.08,0.0,1.0,60759290,0.0,0.0,0.02,0.0,0.01,17.69,13.95,33.58,1.16,0.0,17.54,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.1,0.0,1.0,60759293,0.0,0.0,0.02,1.0,0.01,1.82,1.67,33.6,1.16,0.0,1.67,0.0
