interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,2.32,0.0,21.0,1050201637,0.0,0.0,0.58,19.0,0.29,5.85,116.21,29.42,1.01,4.76,5.68,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.3,0.0,60.0,123592887#0,0.0,0.0,2.1,49.0,1.05,15.51,795.33,27.45,0.94,44.32,15.33,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.75,0.0,49.0,123592887#1,0.0,0.0,1.92,37.0,0.96,27.92,1278.94,26.71,0.92,115.28,27.74,0.0
0.0,300.0,edge_data_300sec_freq,0.0,26.55,0.0,204.0,123867446#0,0.0,0.0,6.64,167.0,3.32,30.01,5597.92,23.58,0.81,1002.06,29.8,0.0
0.0,300.0,edge_data_300sec_freq,0.0,21.55,0.0,167.0,123867446#1,0.0,0.0,5.39,166.0,2.69,6.84,1109.98,25.84,0.89,113.94,6.65,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.05,0.0,71.0,124952143,0.0,0.0,1.51,70.0,0.76,2.97,200.82,38.92,0.99,0.41,2.84,0.0
0.0,300.0,edge_data_300sec_freq,0.0,30.95,0.0,255.0,124952161,0.0,0.0,7.74,235.0,3.87,14.76,3544.95,26.21,0.9,320.5,14.56,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.72,0.0,63.0,125343939,0.0,0.0,1.93,61.0,0.96,10.22,627.61,27.02,0.93,41.41,10.03,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.43,0.0,61.0,1343746547,0.0,0.0,1.86,60.0,0.93,4.31,250.95,27.29,0.94,13.89,4.12,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.12,0.0,81.0,156651844,0.0,0.0,2.37,80.0,1.19,2.21,167.8,37.8,0.96,4.86,2.08,0.0
0.0,300.0,edge_data_300sec_freq,0.0,13.92,0.0,89.0,156651855,0.0,0.0,13.92,84.0,6.96,12.03,1019.12,20.7,0.93,57.09,11.78,0.0
0.0,300.0,edge_data_300sec_freq,0.0,15.52,0.0,122.0,157782133,0.0,0.0,3.1,109.0,1.55,13.03,1451.14,24.3,0.84,220.82,12.83,0.0
0.0,300.0,edge_data_300sec_freq,0.0,199.92,0.0,579.0,158710528,0.0,0.0,33.32,354.0,16.66,48.78,22811.62,7.9,0.27,16545.43,48.15,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.44,0.0,80.0,183343395,0.0,0.0,2.48,80.0,1.24,1.64,119.67,35.84,0.91,9.5,1.5,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.46,0.0,23.0,206086131,0.0,0.0,0.82,21.0,0.41,8.71,180.16,28.65,0.99,11.57,8.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.88,0.0,68.0,23011287,0.0,0.0,1.47,63.0,0.74,5.32,344.68,37.69,0.96,12.48,5.18,0.0
0.0,300.0,edge_data_300sec_freq,0.0,14.46,0.0,110.0,23955194,0.0,0.0,3.61,94.0,1.81,41.74,4319.67,23.98,0.83,696.49,41.53,0.0
