interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,0.91,0.0,8.0,1050201637,0.0,0.0,0.23,8.0,0.11,5.88,45.64,29.31,1.01,0.35,5.71,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.93,0.0,63.0,123592887#0,0.0,0.0,2.64,53.0,1.32,17.61,1001.42,24.19,0.83,142.92,17.4,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.88,0.0,53.0,123592887#1,0.0,0.0,2.29,44.0,1.15,32.65,1528.84,22.84,0.79,298.64,32.43,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.15,0.0,65.0,123867446#0,0.0,0.0,1.79,56.0,0.89,26.07,1506.67,27.15,0.93,116.7,25.89,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.68,0.0,56.0,123867446#1,0.0,0.0,1.67,52.0,0.83,6.67,344.1,26.51,0.91,33.65,6.48,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.93,0.0,79.0,124952143,0.0,0.0,1.73,76.0,0.87,3.09,229.76,37.36,0.95,3.29,2.96,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.65,0.0,76.0,124952161,0.0,0.0,2.16,71.0,1.08,13.64,990.26,28.36,0.98,43.83,13.46,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.18,0.0,71.0,125343939,0.0,0.0,2.3,65.0,1.15,11.4,746.56,24.21,0.83,103.17,11.19,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.53,0.0,65.0,1343746547,0.0,0.0,2.13,63.0,1.07,4.64,288.12,25.35,0.87,28.52,4.44,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.25,0.0,90.0,156651844,0.0,0.0,2.75,88.0,1.38,2.33,194.54,35.83,0.91,10.62,2.19,0.0
0.0,300.0,edge_data_300sec_freq,0.0,16.73,0.0,99.0,156651855,0.0,0.0,16.73,94.0,8.37,13.03,1224.63,19.1,0.86,133.67,12.77,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.22,0.0,47.0,157782133,0.0,0.0,1.04,38.0,0.52,12.22,488.57,25.92,0.89,55.62,12.03,0.0
0.0,300.0,edge_data_300sec_freq,0.0,256.81,0.0,419.0,158710528,0.0,0.0,42.8,223.0,21.4,94.06,29303.26,4.1,0.14,25096.53,92.84,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.06,0.0,88.0,183343395,0.0,0.0,3.02,86.0,1.51,1.83,145.71,32.01,0.81,22.63,1.67,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.91,0.0,8.0,206086131,0.0,0.0,0.3,8.0,0.15,8.53,66.91,29.23,1.01,0.68,8.36,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.91,0.0,76.0,23011287,0.0,0.0,1.73,72.0,0.86,5.7,405.14,35.18,0.89,29.59,5.55,0.0
0.0,300.0,edge_data_300sec_freq,0.0,13.77,0.0,113.0,23955194,0.0,0.0,3.44,92.0,1.72,39.56,4114.41,25.3,0.87,491.03,39.36,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.14,0.0,2.0,26027240,0.0,0.0,0.04,0.0,0.02,11.28,14.38,30.7,1.06,0.0,11.11,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.21,0.0,2.0,26027241,0.0,0.0,0.07,2.0,0.04,2.69,5.07,31.01,1.07,0.0,2.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.98,0.0,76.0,26297396,0.0,0.0,1.74,76.0,0.87,1.77,123.93,36.3,0.92,5.24,1.63,0.0
