interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,16.5,0.0,145.0,123867451,0.0,0.0,4.13,141.0,2.06,7.34,1024.2,28.84,0.99,7.61,7.17,0.0
0.0,300.0,edge_data_300sec_freq,0.0,18.31,0.0,165.0,156651843,0.0,0.0,4.58,154.0,2.29,19.81,3134.6,29.06,1.0,0.06,19.64,0.0
0.0,300.0,edge_data_300sec_freq,0.0,28.54,0.0,267.0,23955194,0.0,0.0,7.14,230.0,3.57,34.44,8528.11,29.06,1.0,0.0,34.27,0.0
0.0,300.0,edge_data_300sec_freq,0.0,20.33,0.0,181.0,28396115#0,0.0,0.0,5.08,173.0,2.54,7.78,1348.2,29.06,1.0,0.06,7.61,0.0
0.0,300.0,edge_data_300sec_freq,0.0,19.46,0.0,173.0,28396115#1,0.0,0.0,4.87,166.0,2.43,6.77,1120.22,29.06,1.0,0.02,6.6,0.0
0.0,300.0,edge_data_300sec_freq,0.0,21.0,0.0,184.0,28396117,0.0,0.0,5.25,181.0,2.62,3.1,535.0,29.06,1.0,0.01,2.92,0.0
0.0,300.0,edge_data_300sec_freq,0.0,6.07,0.0,78.0,28464668,0.0,0.0,1.52,31.0,0.76,40.68,2143.75,29.06,1.0,0.13,40.51,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.07,0.0,80.0,28464671,0.0,0.0,2.27,78.0,1.13,1.23,83.26,29.07,1.0,0.0,1.05,0.0
0.0,300.0,edge_data_300sec_freq,0.0,18.94,0.0,166.0,28588884,0.0,0.0,4.73,164.0,2.37,2.03,306.53,29.06,1.0,0.03,1.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,17.31,0.0,164.0,28588888,0.0,0.0,4.33,138.0,2.16,24.54,3678.06,29.06,1.0,0.0,24.37,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.93,0.0,10.0,508115730,0.0,0.0,0.19,6.0,0.09,5.7,44.66,29.07,1.0,0.0,5.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.3,0.0,6.0,508115731,0.0,0.0,0.07,0.0,0.04,13.47,34.33,29.06,1.0,0.0,13.3,0.0
0.0,300.0,edge_data_300sec_freq,0.0,17.06,0.0,153.0,51383535,0.0,0.0,4.27,145.0,2.13,13.49,1980.83,29.06,1.0,0.07,13.32,0.0
0.0,300.0,edge_data_300sec_freq,0.0,17.6,0.0,154.0,51383539,0.0,0.0,4.4,153.0,2.2,2.13,301.06,29.06,1.0,0.03,1.96,0.0
0.0,300.0,edge_data_300sec_freq,0.0,33.69,0.0,309.0,552389451,0.0,0.0,8.42,279.0,4.21,27.17,7931.58,29.06,1.0,0.03,27.0,0.0
0.0,300.0,edge_data_300sec_freq,0.0,31.35,0.0,279.0,617284172,0.0,0.0,7.84,267.0,3.92,11.32,3045.84,29.06,1.0,0.13,11.14,0.0
0.0,300.0,edge_data_300sec_freq,0.0,19.16,0.0,169.0,848429238,0.0,0.0,4.79,165.0,2.4,6.05,981.66,29.06,1.0,0.1,5.88,0.0
0.0,300.0,edge_data_300sec_freq,0.0,19.5,0.0,171.0,848429239,0.0,0.0,3.9,169.0,1.95,3.79,614.34,29.06,1.0,0.0,3.61,0.0
0.0,300.0,edge_data_300sec_freq,0.0,11.97,0.0,129.0,850615423,0.0,0.0,2.99,80.0,1.5,38.46,3996.73,29.06,1.0,0.0,38.29,0.0
0.0,300.0,edge_data_300sec_freq,0.0,15.27,0.0,138.0,850615424,0.0,0.0,3.05,129.0,1.53,8.99,1173.22,29.06,1.0,0.02,8.81,0.0
0.0,300.0,edge_data_300sec_freq,0.0,90.16,119.0,0.0,8926666,0.0,0.0,90.16,82.0,45.08,73.47,7416.27,3.8,0.17,6147.95,72.15,0.0
0.0,300.0,edge_data_300sec_freq,0.0,100.3,88.0,89.0,8927038#1,0.0,0.0,100.3,168.0,50.15,11.11,1765.37,5.73,0.26,1310.23,10.24,0.0
0.0,300.0,edge_data_300sec_freq,0.0,82.55,130.0,0.0,93631240,0.0,0.0,82.55,78.0,41.28,103.99,10888.76,4.28,0.19,8793.23,102.82,0.0
0.0,300.0,edge_data_300sec_freq,0.0,56.46,0.0,160.0,93631330,0.0,0.0,56.46,152.0,28.23,6.37,917.82,9.3,0.42,533.81,5.83,0.0
0.0,300.0,edge_data_300sec_freq,0.0,71.31,0.0,152.0,93631344,0.0,0.0,71.31,89.0,35.66,77.76,9453.16,5.75,0.26,7008.44,76.89,0.0
0.0,300.0,edge_data_300sec_freq,0.0,22.12,0.0,201.0,942219371,0.0,0.0,5.53,184.0,2.76,15.76,3005.96,29.06,1.0,0.1,15.59,0.0
0.0,300.0,edge_data_300sec_freq,0.0,24.76,0.0,230.0,942219372,0.0,0.0,6.19,201.0,3.1,27.4,5876.64,29.06,1.0,0.74,27.22,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.29,0.0,31.0,942228866,0.0,0.0,0.57,10.0,0.29,33.05,655.72,29.06,1.0,0.0,32.88,0.0
0.0,300.0,edge_data_300sec_freq,0.0,26.4,175.0,0.0,957460911,0.0,0.0,26.4,171.0,13.2,7.35,1232.1,21.83,0.98,21.42,7.12,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.83,0.0,31.0,123867451,0.0,0.0,0.96,35.0,0.48,7.33,237.51,28.9,0.99,1.33,7.16,0.0
300.0,600.0,edge_data_300sec_freq,0.0,1.88,0.0,11.0,156651843,0.0,0.0,0.47,22.0,0.23,19.81,321.69,29.06,1.0,0.01,19.64,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.3,0.0,30.0,157607513,0.0,0.0,0.58,10.0,0.29,40.53,810.57,29.06,1.0,0.0,40.36,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.37,0.0,22.0,157806285,0.0,0.0,0.4,14.0,0.2,40.36,831.59,29.06,1.0,0.0,40.19,0.0
300.0,600.0,edge_data_300sec_freq,0.0,12.64,0.0,111.0,158245363,0.0,0.0,3.16,110.0,1.58,1.57,153.67,29.05,1.0,0.03,1.39,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.49,0.0,25.0,158245364,0.0,0.0,0.62,18.0,0.31,9.93,212.03,29.06,1.0,0.0,9.75,0.0
300.0,600.0,edge_data_300sec_freq,0.0,24.7,0.0,206.0,23955194,0.0,0.0,6.17,226.0,3.09,34.44,7378.48,29.06,1.0,0.0,34.27,0.0
300.0,600.0,edge_data_300sec_freq,0.0,0.25,0.0,3.0,27829315,0.0,0.0,0.06,1.0,0.03,7.69,16.47,29.06,1.0,0.0,7.52,0.0
300.0,600.0,edge_data_300sec_freq,0.0,4.58,0.0,41.0,28358874#0,0.0,0.0,0.92,39.0,0.46,2.88,108.16,29.06,1.0,0.02,2.71,0.0
300.0,600.0,edge_data_300sec_freq,0.0,4.24,0.0,39.0,28358874#1,0.0,0.0,0.85,34.0,0.42,5.72,205.25,29.06,1.0,0.03,5.55,0.0
300.0,600.0,edge_data_300sec_freq,0.0,5.33,0.0,50.0,28358961,0.0,0.0,1.07,43.0,0.53,7.67,348.44,29.06,1.0,0.0,7.5,0.0
300.0,600.0,edge_data_300sec_freq,0.0,6.15,0.0,54.0,28358963,0.0,0.0,1.54,52.0,0.77,1.43,67.63,29.06,1.0,0.0,1.26,0.0
300.0,600.0,edge_data_300sec_freq,0.0,6.7,0.0,62.0,28359013,0.0,0.0,1.68,54.0,0.84,10.98,631.44,29.06,1.0,0.01,10.8,0.0
300.0,600.0,edge_data_300sec_freq,0.0,7.39,0.0,66.0,28359016,0.0,0.0,1.48,63.0,0.74,2.86,172.92,29.06,1.0,0.01,2.69,0.0
300.0,600.0,edge_data_300sec_freq,0.0,7.82,0.0,70.0,28359059,0.0,0.0,1.56,66.0,0.78,5.29,349.09,29.06,1.0,0.01,5.12,0.0
300.0,600.0,edge_data_300sec_freq,0.0,8.03,0.0,70.0,28359068,0.0,0.0,1.61,70.0,0.8,1.22,73.29,29.07,1.0,0.0,1.05,0.0
300.0,600.0,edge_data_300sec_freq,0.0,8.6,0.0,77.0,28359104,0.0,0.0,1.72,73.0,0.86,6.27,457.07,29.06,1.0,0.0,6.09,0.0
300.0,600.0,edge_data_300sec_freq,0.0,8.98,0.0,81.0,28359106,0.0,0.0,1.8,77.0,0.9,4.98,376.23,29.06,1.0,0.01,4.8,0.0
300.0,600.0,edge_data_300sec_freq,0.0,33.16,0.0,289.0,28378888#0,0.0,0.0,8.29,289.0,4.15,0.76,170.22,29.05,1.0,0.06,0.59,0.0
