edge_id,interval_nVehContrib,interval_harmonicMeanSpeed,bo_iteration,batch
119271337,2000.0,29.059999999999995,0,0
157806285,1110.0,29.06,0,0
23807076,1110.0,29.06,0,0
23955194,7219.0,29.059999999999995,0,0
261596707,2000.0,29.06,0,0
28378888#0,7219.0,29.049999999999997,0,0
28378888#1,7219.0,29.059999999999995,0,0
28396115#0,7219.0,29.059999999999995,0,0
28413844,7219.0,29.059999999999995,0,0
28432568,2000.0,29.059999999999995,0,0
28437207,1110.0,29.06,0,0
28464668,7219.0,29.059999999999995,0,0
28588888,7219.0,29.059999999999995,0,0
28665770,2000.0,29.059999999999995,0,0
31559320,2200.0,29.059999999999995,0,0
394385111,1110.0,29.059999999999995,0,0
395336979,2000.0,29.06,0,0
395336990,2000.0,29.06,0,0
395368981,1110.0,29.06,0,0
395368986,1110.0,29.06,0,0
508115731,7219.0,29.059999999999995,0,0
508115745,2200.0,29.059999999999995,0,0
51383535,2000.0,29.059999999999995,0,0
516535357,1110.0,29.059999999999995,0,0
52286754,2200.0,29.059999999999995,0,0
52305981,1110.0,29.059999999999995,0,0
544296218#0,3909.0,29.059999999999995,0,0
544296218#1,3909.0,29.059999999999995,0,0
552389451,7219.0,29.059999999999995,0,0
60723578,2000.0,29.06,0,0
617284172,7219.0,29.059999999999995,0,0
619042924,3909.0,29.059999999999995,0,0
711193408,3909.0,29.059999999999995,0,0
848429238,2000.0,29.059999999999995,0,0
849677308,1110.0,29.059999999999995,0,0
850615423,7219.0,29.059999999999995,0,0
850615424,7219.0,29.059999999999995,0,0
851520670,1110.0,29.06,0,0
851548985,1110.0,29.059999999999995,0,0
942219372,7219.0,29.059999999999995,0,0
942228866,7219.0,29.059999999999995,0,0
947247192,1110.0,29.059999999999995,0,0
963455394,1110.0,29.059999999999995,0,0
963455396,1110.0,29.059999999999995,0,0
963510311,1110.0,29.06,0,0
963510313,1110.0,29.06,0,0
965603179,3909.0,29.059999999999995,0,0
119271337,1927.0,29.059999999999995,1,0
157806285,1640.0,29.06,1,0
23807076,1640.0,29.06,1,0
23955194,6977.0,29.06,1,0
261596707,1927.0,29.059999999999995,1,0
28378888#0,6977.0,29.05,1,0
28378888#1,6977.0,29.06,1,0
28396115#0,6977.0,29.06,1,0
28413844,6977.0,29.06,1,0
28432568,1927.0,29.059999999999995,1,0
28437207,1640.0,29.06,1,0
28464668,6977.0,29.06,1,0
28588888,6977.0,29.06,1,0
28665770,1927.0,29.059999999999995,1,0
31559320,2586.0,29.06,1,0
394385111,1640.0,29.06,1,0
395336979,1927.0,29.06,1,0
395336990,1927.0,29.06,1,0
395368981,1640.0,29.06,1,0
395368986,1640.0,29.06,1,0
508115731,6977.0,29.06,1,0
508115745,2586.0,29.06,1,0
51383535,1927.0,29.059999999999995,1,0
516535357,1640.0,29.06,1,0
52286754,2586.0,29.06,1,0
52305981,1640.0,29.06,1,0
544296218#0,2751.0,29.06,1,0
544296218#1,2751.0,29.06,1,0
552389451,6977.0,29.06,1,0
60723578,1927.0,29.059999999999995,1,0
617284172,6977.0,29.06,1,0
619042924,2751.0,29.06,1,0
711193408,2751.0,29.06,1,0
848429238,1927.0,29.059999999999995,1,0
849677308,1640.0,29.06,1,0
850615423,6977.0,29.06,1,0
850615424,6977.0,29.06,1,0
851520670,1640.0,29.06,1,0
851548985,1640.0,29.06,1,0
942219372,6977.0,29.06,1,0
942228866,6977.0,29.06,1,0
947247192,1640.0,29.06,1,0
963455394,1640.0,29.06,1,0
963455396,1640.0,29.06,1,0
963510311,1640.0,29.06,1,0
963510313,1640.0,29.06,1,0
965603179,2751.0,29.06,1,0
119271337,1795.0,29.059999999999995,2,0
157806285,824.0,29.06,2,0
23807076,824.0,29.06,2,0
23955194,6200.0,29.06,2,0
261596707,1795.0,29.059999999999995,2,0
28378888#0,6200.0,29.05,2,0
28378888#1,6200.0,29.06,2,0
28396115#0,6200.0,29.06,2,0
28413844,6200.0,29.06,2,0
28432568,1795.0,29.059999999999995,2,0
28437207,824.0,29.06,2,0
28464668,6200.0,29.06,2,0
28588888,6200.0,29.06,2,0
28665770,1795.0,29.059999999999995,2,0
31559320,2390.0,29.06,2,0
394385111,824.0,29.06,2,0
395336979,1795.0,29.059999999999995,2,0
395336990,1795.0,29.059999999999995,2,0
395368981,824.0,29.06,2,0
395368986,824.0,29.06,2,0
508115731,6200.0,29.06,2,0
508115745,2390.0,29.06,2,0
51383535,1795.0,29.059999999999995,2,0
516535357,824.0,29.06,2,0
52286754,2390.0,29.06,2,0
52305981,824.0,29.06,2,0
