interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,2.33,0.0,21.0,123867451,0.0,0.0,0.58,20.0,0.29,7.33,144.76,28.9,0.99,0.81,7.16,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.6,0.0,24.0,156651843,0.0,0.0,0.65,22.0,0.32,19.81,445.06,29.06,1.0,0.01,19.64,0.0
0.0,300.0,edge_data_300sec_freq,0.0,20.74,0.0,193.0,23955194,0.0,0.0,5.18,167.0,2.59,34.44,6196.0,29.06,1.0,0.0,34.27,0.0
0.0,300.0,edge_data_300sec_freq,0.0,14.77,0.0,131.0,28396115#0,0.0,0.0,3.69,126.0,1.85,7.78,979.22,29.06,1.0,0.05,7.61,0.0
0.0,300.0,edge_data_300sec_freq,0.0,14.09,0.0,126.0,28396115#1,0.0,0.0,3.52,120.0,1.76,6.77,811.12,29.06,1.0,0.02,6.6,0.0
0.0,300.0,edge_data_300sec_freq,0.0,15.19,0.0,133.0,28396117,0.0,0.0,3.8,131.0,1.9,3.1,387.15,29.06,1.0,0.01,2.92,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.31,0.0,62.0,28464668,0.0,0.0,1.33,31.0,0.66,40.68,1876.29,29.06,1.0,0.11,40.51,0.0
0.0,300.0,edge_data_300sec_freq,0.0,7.2,0.0,63.0,28464671,0.0,0.0,1.8,62.0,0.9,1.23,66.09,29.07,1.0,0.0,1.05,0.0
0.0,300.0,edge_data_300sec_freq,0.0,13.73,0.0,120.0,28588884,0.0,0.0,3.43,119.0,1.72,2.03,222.32,29.06,1.0,0.02,1.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,12.55,0.0,119.0,28588888,0.0,0.0,3.14,100.0,1.57,24.54,2665.95,29.06,1.0,0.0,24.37,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.93,0.0,10.0,508115730,0.0,0.0,0.19,6.0,0.09,5.7,44.66,29.07,1.0,0.0,5.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.3,0.0,6.0,508115731,0.0,0.0,0.07,0.0,0.04,13.47,34.33,29.06,1.0,0.0,13.3,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.43,0.0,22.0,51383535,0.0,0.0,0.61,21.0,0.3,13.49,282.55,29.06,1.0,0.01,13.32,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.52,0.0,22.0,51383539,0.0,0.0,0.63,22.0,0.32,2.13,43.16,29.06,1.0,0.0,1.96,0.0
0.0,300.0,edge_data_300sec_freq,0.0,23.81,0.0,215.0,552389451,0.0,0.0,5.95,200.0,2.98,27.17,5604.78,29.06,1.0,0.01,27.0,0.0
0.0,300.0,edge_data_300sec_freq,0.0,22.55,0.0,200.0,617284172,0.0,0.0,5.64,193.0,2.82,11.32,2190.71,29.06,1.0,0.09,11.15,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.75,0.0,24.0,848429238,0.0,0.0,0.69,24.0,0.34,6.05,141.02,29.06,1.0,0.01,5.88,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.75,0.0,24.0,848429239,0.0,0.0,0.55,24.0,0.28,3.79,86.74,29.06,1.0,0.0,3.61,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.95,0.0,93.0,850615423,0.0,0.0,2.24,63.0,1.12,38.46,2987.53,29.06,1.0,0.0,38.29,0.0
0.0,300.0,edge_data_300sec_freq,0.0,11.06,0.0,100.0,850615424,0.0,0.0,2.21,93.0,1.11,8.99,850.02,29.06,1.0,0.02,8.81,0.0
0.0,300.0,edge_data_300sec_freq,0.0,83.26,128.0,0.0,8926666,0.0,0.0,83.26,103.0,41.63,61.31,6848.5,4.55,0.2,5444.94,60.21,0.0
0.0,300.0,edge_data_300sec_freq,0.0,54.95,35.0,169.0,8927038#1,0.0,0.0,54.95,195.0,27.47,5.24,967.09,12.14,0.55,438.62,4.83,0.0
0.0,300.0,edge_data_300sec_freq,0.0,77.53,130.0,0.0,93631240,0.0,0.0,77.53,98.0,38.76,92.06,10225.86,4.83,0.22,8003.03,91.03,0.0
0.0,300.0,edge_data_300sec_freq,0.0,31.2,0.0,201.0,93631330,0.0,0.0,31.2,199.0,15.6,2.77,507.14,21.38,0.96,19.17,2.53,0.0
0.0,300.0,edge_data_300sec_freq,0.0,30.34,0.0,199.0,93631344,0.0,0.0,30.34,169.0,15.17,21.44,4022.16,20.84,0.94,249.12,21.2,0.0
0.0,300.0,edge_data_300sec_freq,0.0,16.07,0.0,146.0,942219371,0.0,0.0,4.02,133.0,2.01,15.76,2183.71,29.06,1.0,0.07,15.59,0.0
0.0,300.0,edge_data_300sec_freq,0.0,17.98,0.0,167.0,942219372,0.0,0.0,4.49,146.0,2.25,27.4,4266.35,29.06,1.0,0.54,27.22,0.0
0.0,300.0,edge_data_300sec_freq,0.0,2.29,0.0,31.0,942228866,0.0,0.0,0.57,10.0,0.29,33.05,655.72,29.06,1.0,0.0,32.88,0.0
0.0,300.0,edge_data_300sec_freq,0.0,3.71,25.0,0.0,957460911,0.0,0.0,3.71,24.0,1.85,7.23,173.0,22.22,1.0,0.0,7.0,0.0
300.0,600.0,edge_data_300sec_freq,0.0,0.55,0.0,4.0,123867451,0.0,0.0,0.14,5.0,0.07,7.29,34.0,29.06,1.0,0.0,7.12,0.0
300.0,600.0,edge_data_300sec_freq,0.0,0.27,0.0,1.0,156651843,0.0,0.0,0.07,3.0,0.03,19.81,45.89,29.06,1.0,0.0,19.64,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.35,0.0,31.0,157607513,0.0,0.0,0.59,11.0,0.29,40.53,828.02,29.06,1.0,0.0,40.36,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.37,0.0,22.0,157806285,0.0,0.0,0.4,14.0,0.2,40.36,831.59,29.06,1.0,0.0,40.19,0.0
300.0,600.0,edge_data_300sec_freq,0.0,5.28,0.0,46.0,158245363,0.0,0.0,1.32,46.0,0.66,1.57,64.17,29.05,1.0,0.01,1.4,0.0
300.0,600.0,edge_data_300sec_freq,0.0,1.11,0.0,11.0,158245364,0.0,0.0,0.28,9.0,0.14,9.93,94.21,29.06,1.0,0.0,9.75,0.0
300.0,600.0,edge_data_300sec_freq,0.0,18.42,0.0,157.0,23955194,0.0,0.0,4.6,166.0,2.3,34.44,5502.72,29.06,1.0,0.0,34.27,0.0
300.0,600.0,edge_data_300sec_freq,0.0,0.21,0.0,3.0,27829315,0.0,0.0,0.05,1.0,0.03,7.69,13.62,29.06,1.0,0.0,7.52,0.0
300.0,600.0,edge_data_300sec_freq,0.0,1.95,0.0,17.0,28358874#0,0.0,0.0,0.39,17.0,0.2,2.88,46.09,29.06,1.0,0.01,2.71,0.0
300.0,600.0,edge_data_300sec_freq,0.0,1.74,0.0,17.0,28358874#1,0.0,0.0,0.35,14.0,0.17,5.72,84.13,29.06,1.0,0.01,5.55,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.18,0.0,20.0,28358961,0.0,0.0,0.44,17.0,0.22,7.67,142.49,29.06,1.0,0.0,7.5,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.41,0.0,21.0,28358963,0.0,0.0,0.6,21.0,0.3,1.43,26.48,29.06,1.0,0.0,1.26,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.69,0.0,25.0,28359013,0.0,0.0,0.67,21.0,0.34,10.98,253.42,29.06,1.0,0.0,10.8,0.0
300.0,600.0,edge_data_300sec_freq,0.0,2.88,0.0,26.0,28359016,0.0,0.0,0.58,25.0,0.29,2.86,67.43,29.06,1.0,0.0,2.69,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.15,0.0,28.0,28359059,0.0,0.0,0.63,27.0,0.32,5.29,140.81,29.06,1.0,0.01,5.12,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.21,0.0,28.0,28359068,0.0,0.0,0.64,28.0,0.32,1.22,29.32,29.07,1.0,0.0,1.05,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.46,0.0,31.0,28359104,0.0,0.0,0.69,29.0,0.35,6.27,184.09,29.06,1.0,0.0,6.09,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.64,0.0,32.0,28359106,0.0,0.0,0.73,31.0,0.36,4.98,152.6,29.06,1.0,0.0,4.8,0.0
300.0,600.0,edge_data_300sec_freq,0.0,23.51,0.0,205.0,28378888#0,0.0,0.0,5.88,204.0,2.94,0.76,120.67,29.05,1.0,0.04,0.59,0.0
300.0,600.0,edge_data_300sec_freq,0.0,23.21,0.0,204.0,28378888#1,0.0,0.0,5.8,201.0,2.9,7.49,1481.83,29.06,1.0,0.0,7.32,0.0
300.0,600.0,edge_data_300sec_freq,0.0,23.63,0.0,206.0,28378890,0.0,0.0,5.91,205.0,2.95,2.19,415.62,29.06,1.0,0.02,2.02,0.0
300.0,600.0,edge_data_300sec_freq,0.0,20.61,0.0,179.0,28396115#0,0.0,0.0,5.15,181.0,2.58,7.78,1366.6,29.06,1.0,0.06,7.61,0.0
300.0,600.0,edge_data_300sec_freq,0.0,20.88,0.0,181.0,28396115#1,0.0,0.0,5.22,183.0,2.61,6.77,1201.54,29.06,1.0,0.03,6.6,0.0
300.0,600.0,edge_data_300sec_freq,0.0,20.48,0.0,179.0,28396117,0.0,0.0,5.12,179.0,2.56,3.1,521.9,29.06,1.0,0.01,2.92,0.0
300.0,600.0,edge_data_300sec_freq,0.0,22.42,0.0,200.0,28413844,0.0,0.0,4.48,192.0,2.24,14.53,2806.82,29.06,1.0,0.0,14.36,0.0
300.0,600.0,edge_data_300sec_freq,0.0,22.94,0.0,201.0,28413845,0.0,0.0,5.74,200.0,2.87,1.69,303.89,29.07,1.0,0.0,1.52,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.66,0.0,33.0,28414030,0.0,0.0,0.92,31.0,0.46,5.3,163.77,29.05,1.0,0.03,5.13,0.0
300.0,600.0,edge_data_300sec_freq,0.0,3.78,0.0,33.0,28414031,0.0,0.0,0.95,33.0,0.47,1.99,59.93,29.06,1.0,0.0,1.82,0.0
