interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,93.91,272.0,0.0,D2,0.0,0.0,46.95,223.0,23.48,57.5,14085.84,8.78,0.63,5030.94,56.93,0.0
0.0,300.0,edge_data_300sec_freq,0.0,98.78,273.0,0.0,D4,0.0,0.0,49.39,222.0,24.69,60.22,14816.95,8.39,0.6,5697.68,59.62,0.0
0.0,300.0,edge_data_300sec_freq,1.0,0.35,0.0,3.0,D5,0.0,0.0,0.12,0.0,0.06,35.1,51.97,14.39,1.04,0.0,34.75,0.0
0.0,300.0,edge_data_300sec_freq,1.0,0.39,0.0,4.0,D7,0.0,0.0,0.13,0.0,0.07,34.28,58.66,14.73,1.06,0.05,33.94,0.0
0.0,300.0,edge_data_300sec_freq,0.0,9.44,0.0,65.0,L10,0.0,0.0,3.15,5.0,1.57,83.4,2795.8,11.9,0.86,383.01,82.98,0.0
0.0,300.0,edge_data_300sec_freq,0.0,42.42,0.0,183.0,L12,0.0,0.0,14.14,105.0,7.07,86.5,12561.6,11.47,0.83,2025.34,86.06,0.0
0.0,300.0,edge_data_300sec_freq,0.0,41.96,0.0,181.0,L14,0.0,0.0,13.99,99.0,6.99,88.31,12425.61,11.23,0.81,2270.82,87.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,12.78,0.0,66.0,L15,0.0,0.0,4.26,11.0,2.13,83.45,3746.63,11.77,0.85,558.56,83.02,0.0
0.0,300.0,edge_data_300sec_freq,0.0,12.96,0.0,73.0,L16,0.0,0.0,4.32,26.0,2.16,82.57,3798.28,11.9,0.86,576.26,82.15,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.36,0.0,37.0,L18,0.0,0.0,1.79,10.0,0.89,79.03,1588.24,12.55,0.9,105.4,78.63,0.0
0.0,300.0,edge_data_300sec_freq,0.0,64.41,0.0,223.0,L2,0.0,0.0,32.2,183.0,16.1,47.99,9632.34,10.49,0.76,2260.63,47.52,0.0
0.0,300.0,edge_data_300sec_freq,0.0,68.73,0.0,222.0,L4,0.0,0.0,34.37,181.0,17.18,51.54,10278.89,9.77,0.7,2933.08,51.03,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.63,0.0,10.0,L5,0.0,0.0,0.54,3.0,0.27,37.92,244.51,13.28,0.96,8.65,37.54,0.0
0.0,300.0,edge_data_300sec_freq,0.0,0.92,0.0,5.0,L7,0.0,0.0,0.31,4.0,0.15,34.78,137.82,14.47,1.04,0.0,34.44,0.0
300.0,600.0,edge_data_300sec_freq,0.0,106.23,264.0,0.0,D2,0.0,0.0,53.11,271.0,26.56,60.59,15934.17,8.33,0.6,6255.82,59.99,0.0
300.0,600.0,edge_data_300sec_freq,0.0,106.56,269.0,0.0,D4,0.0,0.0,53.28,266.0,26.64,60.83,15984.43,8.3,0.6,6233.15,60.23,0.0
300.0,600.0,edge_data_300sec_freq,133.0,44.31,0.0,159.0,D5,0.0,0.0,14.77,0.0,7.38,47.22,6646.08,10.69,0.77,1419.2,46.75,0.0
300.0,600.0,edge_data_300sec_freq,196.0,60.96,0.0,216.0,D7,0.0,0.0,20.32,0.0,10.16,44.98,9144.19,11.23,0.81,1699.03,44.53,0.0
300.0,600.0,edge_data_300sec_freq,0.0,75.74,0.0,279.0,L10,0.0,0.0,25.25,238.0,12.62,87.52,22428.86,11.34,0.82,3841.91,87.08,0.0
300.0,600.0,edge_data_300sec_freq,0.0,77.38,0.0,267.0,L12,0.0,0.0,25.79,267.0,12.9,87.16,22914.62,11.38,0.82,3802.6,86.72,0.0
300.0,600.0,edge_data_300sec_freq,0.0,79.13,0.0,263.0,L14,0.0,0.0,26.38,273.0,13.19,88.72,23435.32,11.18,0.81,4074.42,88.28,0.0
300.0,600.0,edge_data_300sec_freq,0.0,51.07,0.0,167.0,L15,0.0,0.0,17.02,174.0,8.51,90.94,14974.34,10.8,0.78,3092.05,90.48,0.0
300.0,600.0,edge_data_300sec_freq,0.0,61.47,0.0,200.0,L16,0.0,0.0,20.49,179.0,10.25,92.61,18023.69,10.61,0.76,3927.27,92.14,0.0
300.0,600.0,edge_data_300sec_freq,0.0,67.57,0.0,247.0,L18,0.0,0.0,22.52,195.0,11.26,92.15,20010.47,10.77,0.78,4202.58,91.69,0.0
300.0,600.0,edge_data_300sec_freq,0.0,87.38,0.0,271.0,L2,0.0,0.0,43.69,267.0,21.85,49.74,13068.21,10.12,0.73,3406.34,49.25,0.0
300.0,600.0,edge_data_300sec_freq,0.0,89.83,0.0,266.0,L4,0.0,0.0,44.91,263.0,22.46,51.36,13433.92,9.8,0.71,3724.69,50.85,0.0
300.0,600.0,edge_data_300sec_freq,0.0,59.79,0.0,195.0,L5,0.0,0.0,19.93,159.0,9.96,49.16,8941.48,10.24,0.74,2231.89,48.68,0.0
300.0,600.0,edge_data_300sec_freq,0.0,67.22,0.0,238.0,L7,0.0,0.0,22.41,216.0,11.2,45.24,10053.11,11.13,0.8,1920.7,44.79,0.0
600.0,900.0,edge_data_300sec_freq,0.0,104.43,271.0,0.0,D2,0.0,0.0,52.22,260.0,26.11,58.9,15664.83,8.57,0.62,5893.73,58.32,0.0
600.0,900.0,edge_data_300sec_freq,0.0,112.26,270.0,0.0,D4,0.0,0.0,56.13,264.0,28.06,63.88,16838.54,7.91,0.57,7210.07,63.25,0.0
