interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,93.84,272.0,0.0,D2,0.0,0.0,46.92,226.0,23.46,57.28,14076.14,8.82,0.63,4980.85,56.71,0.0
0.0,300.0,edge_data_300sec_freq,0.0,98.05,271.0,0.0,D4,0.0,0.0,49.02,222.0,24.51,60.36,14707.44,8.37,0.6,5662.75,59.76,0.0
0.0,300.0,edge_data_300sec_freq,2.0,0.56,0.0,3.0,D5,0.0,0.0,0.19,0.0,0.09,33.42,84.71,15.11,1.09,0.0,33.09,0.0
0.0,300.0,edge_data_300sec_freq,6.0,1.43,0.0,8.0,D7,0.0,0.0,0.48,0.0,0.24,35.19,214.29,14.35,1.03,7.01,34.84,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.89,0.0,69.0,L10,0.0,0.0,3.63,19.0,1.81,78.53,3224.18,12.63,0.91,280.8,78.13,0.0
0.0,300.0,edge_data_300sec_freq,0.0,40.86,0.0,185.0,L12,0.0,0.0,13.62,114.0,6.81,83.76,12100.16,11.84,0.85,1647.74,83.34,0.0
0.0,300.0,edge_data_300sec_freq,0.0,41.13,0.0,178.0,L14,0.0,0.0,13.71,101.0,6.86,89.31,12180.88,11.11,0.8,2303.47,88.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.4,0.0,57.0,L15,0.0,0.0,3.47,8.0,1.73,81.41,3048.78,12.07,0.87,392.47,81.0,0.0
0.0,300.0,edge_data_300sec_freq,0.0,8.32,0.0,51.0,L16,0.0,0.0,2.77,12.0,1.39,78.26,2439.89,12.55,0.9,203.72,77.86,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.0,0.0,58.0,L18,0.0,0.0,3.33,7.0,1.67,85.41,2960.47,11.62,0.84,454.88,84.98,0.0
