interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.0,300.0,edge_data_300sec_freq,0.0,92.4,277.0,0.0,D2,0.0,0.0,46.2,221.0,23.1,56.0,13859.39,9.02,0.65,4671.27,55.44,0.0
0.0,300.0,edge_data_300sec_freq,0.0,101.79,271.0,0.0,D4,0.0,0.0,50.89,222.0,25.45,62.33,15268.32,8.1,0.58,6270.98,61.71,0.0
0.0,300.0,edge_data_300sec_freq,2.0,1.46,0.0,11.0,D5,0.0,0.0,0.49,0.0,0.24,37.95,218.8,13.31,0.96,17.88,37.58,0.0
0.0,300.0,edge_data_300sec_freq,2.0,0.51,0.0,3.0,D7,0.0,0.0,0.17,0.0,0.09,33.27,76.6,15.18,1.09,0.0,32.94,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.82,0.0,60.0,L10,0.0,0.0,3.61,6.0,1.8,84.78,3203.27,11.7,0.84,472.34,84.35,0.0
0.0,300.0,edge_data_300sec_freq,0.0,42.55,0.0,183.0,L12,0.0,0.0,14.18,112.0,7.09,85.49,12599.8,11.61,0.84,1871.79,85.05,0.0
0.0,300.0,edge_data_300sec_freq,0.0,42.3,0.0,180.0,L14,0.0,0.0,14.1,105.0,7.05,89.54,12527.97,11.08,0.8,2432.91,89.09,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.87,0.0,60.0,L15,0.0,0.0,3.62,5.0,1.81,84.2,3188.4,11.67,0.84,460.7,83.77,0.0
0.0,300.0,edge_data_300sec_freq,0.0,5.98,0.0,39.0,L16,0.0,0.0,1.99,8.0,1.0,78.44,1752.25,12.52,0.9,181.96,78.04,0.0
0.0,300.0,edge_data_300sec_freq,0.0,10.72,0.0,71.0,L18,0.0,0.0,3.57,17.0,1.79,78.36,3175.79,12.66,0.91,287.55,77.96,0.0
0.0,300.0,edge_data_300sec_freq,0.0,66.09,0.0,221.0,L2,0.0,0.0,33.04,183.0,16.52,49.85,9883.34,10.1,0.73,2539.82,49.36,0.0
0.0,300.0,edge_data_300sec_freq,0.0,67.93,0.0,222.0,L4,0.0,0.0,33.96,180.0,16.98,50.5,10158.59,9.97,0.72,2781.96,50.0,0.0
0.0,300.0,edge_data_300sec_freq,0.0,3.76,0.0,17.0,L5,0.0,0.0,1.25,11.0,0.63,39.53,561.87,12.74,0.92,48.65,39.14,0.0
0.0,300.0,edge_data_300sec_freq,0.0,1.24,0.0,6.0,L7,0.0,0.0,0.41,3.0,0.21,35.74,184.7,14.09,1.01,3.48,35.38,0.0
300.0,600.0,edge_data_300sec_freq,0.0,106.07,263.0,0.0,D2,0.0,0.0,53.03,264.0,26.52,61.03,15910.09,8.27,0.6,6203.1,60.43,0.0
300.0,600.0,edge_data_300sec_freq,0.0,112.06,265.0,0.0,D4,0.0,0.0,56.03,265.0,28.02,63.94,16809.29,7.9,0.57,7185.77,63.3,0.0
300.0,600.0,edge_data_300sec_freq,197.0,65.09,0.0,209.0,D5,0.0,0.0,21.7,0.0,10.85,47.13,9763.82,10.71,0.77,2130.99,46.67,0.0
300.0,600.0,edge_data_300sec_freq,125.0,45.33,0.0,173.0,D7,0.0,0.0,15.11,0.0,7.55,48.58,6798.97,10.4,0.75,1601.31,48.1,0.0
300.0,600.0,edge_data_300sec_freq,0.0,64.86,0.0,219.0,L10,0.0,0.0,21.62,214.0,10.81,90.63,19207.07,10.95,0.79,3811.92,90.17,0.0
300.0,600.0,edge_data_300sec_freq,0.0,76.02,0.0,261.0,L12,0.0,0.0,25.34,253.0,12.67,88.27,22511.52,11.24,0.81,3743.02,87.83,0.0
300.0,600.0,edge_data_300sec_freq,0.0,77.8,0.0,266.0,L14,0.0,0.0,25.93,272.0,12.97,85.97,23038.65,11.54,0.83,3720.02,85.54,0.0
300.0,600.0,edge_data_300sec_freq,0.0,39.34,0.0,135.0,L15,0.0,0.0,13.11,150.0,6.56,84.16,11534.61,11.67,0.84,1574.33,83.73,0.0
300.0,600.0,edge_data_300sec_freq,0.0,29.62,0.0,102.0,L16,0.0,0.0,9.87,101.0,4.94,83.74,8684.27,11.73,0.84,1236.18,83.31,0.0
300.0,600.0,edge_data_300sec_freq,0.0,98.32,0.0,320.0,L18,0.0,0.0,32.77,279.0,16.39,95.88,29118.38,10.35,0.75,7088.49,95.39,0.0
300.0,600.0,edge_data_300sec_freq,0.0,89.7,0.0,264.0,L2,0.0,0.0,44.85,261.0,22.42,51.19,13414.45,9.84,0.71,3652.45,50.68,0.0
300.0,600.0,edge_data_300sec_freq,0.0,81.13,0.0,265.0,L4,0.0,0.0,40.57,266.0,20.28,46.34,12133.46,10.86,0.78,2578.91,45.88,0.0
300.0,600.0,edge_data_300sec_freq,0.0,81.5,0.0,279.0,L5,0.0,0.0,27.17,209.0,13.58,50.66,12188.46,9.94,0.72,3357.47,50.16,0.0
300.0,600.0,edge_data_300sec_freq,0.0,64.26,0.0,214.0,L7,0.0,0.0,21.42,173.0,10.71,48.89,9609.75,10.3,0.74,2360.08,48.41,0.0
600.0,900.0,edge_data_300sec_freq,0.0,108.19,284.0,0.0,D2,0.0,0.0,54.1,266.0,27.05,61.9,16228.52,8.16,0.59,6592.57,61.29,0.0
